排名,游戏名称,Steam_ID,好评数,总评论数,好评率,估算销量,基于销量股价,基于好评数股价,股价变化,数据类型
1,Counter-Strike 2,730,3901179,4527171,86.2%,135815130,$197,$215,+18 (+9%),精确
2,Grand Theft Auto V 传承版,271590,1596430,1819025,87.8%,54570750,$188,$201,+13 (+7%),精确
3,Wallpaper Engine：壁纸引擎,431960,812369,828476,98.1%,24854280,$198,$199,+1 (+1%),精确
4,黑神话：悟空,2358720,805929,834837,96.5%,25045110,$195,$198,+2 (+1%),精确
5,巫师 3：狂猎,292030,738097,762329,96.8%,22869870,$194,$196,+2 (+1%),精确
6,艾尔登法环,1245620,711804,765417,93.0%,22962510,$187,$192,+5 (+3%),精确
7,Red Dead Redemption 2,1174180,622352,674485,92.3%,20234550,$184,$189,+5 (+3%),精确
8,Lethal Company,1966720,381820,392721,97.2%,11781630,$185,$184,-1 (-1%),精确
9,赛博朋克 2077,1091500,640413,748723,85.5%,22461690,$172,$182,+10 (+6%),精确
10,Titanfall® 2,1237970,216341,226667,95.4%,6800010,$174,$172,-2 (-1%),精确
11,Ready or Not,1144200,165669,184947,89.6%,5548410,$161,$162,+2 (+1%),精确
12,No Man's Sky 无人深空,275850,216765,266028,81.5%,7980840,$151,$159,+9 (+6%),精确
13,永劫无间,1203220,119556,163692,73.0%,4910760,$130,$141,+12 (+9%),精确
14,使命召唤®,1938090,215641,387741,55.6%,11632230,$106,$131,+25 (+24%),精确
15,Team Fortress 2,440,33032,42522,77.7%,1275660,$122,$125,+3 (+2%),精确
16,Dota 2,570,12204,14349,85.1%,430470,$121,$115,-6 (-5%),精确
17,Apex Legends™,1172470,1167,1549,75.3%,46470,$84,$75,-9 (-11%),精确
18,Helltaker,1289310,394,398,99.0%,11940,$92,$69,-24 (-25%),精确
